problem,is_linear,method,num_steps,nfe,n_blocks,frequency,h_max,rms_error,max_cond,mean_amplification,rho,dtype,asymptotic
bimodal_sep4_d1,False,euler,8,8,,,45.0078109952535,0.4076476464067838,,,7.0,float64,False
bimodal_sep4_d1,False,heun,8,15,,,45.0078109952535,0.4230653038538532,,,7.0,float64,False
bimodal_sep4_d1,False,rx_L2,8,8,1.0,8.0,45.0078109952535,0.8402789079521297,6.6902762559957365,2.345138127997868,7.0,float64,False
bimodal_sep4_d1,False,rx_L3,8,8,1.0,8.0,45.0078109952535,6.714521176690768,202.0822859390687,18.115371533921124,7.0,float64,False
bimodal_sep4_d1,False,rx_L4,8,8,1.0,8.0,45.0078109952535,129.14309453464483,5884.371313474919,204.04241755381713,7.0,float64,False
bimodal_sep4_d1,False,rx_naive,8,8,,,45.0078109952535,0.3310665043589506,5.333333333333333,1.6666666666666663,7.0,float64,False
bimodal_sep4_d1,False,euler,16,16,,,24.949213029686,0.1874132945520881,,,7.0,float64,False
bimodal_sep4_d1,False,heun,16,31,,,24.949213029686,0.059675881907462,,,7.0,float64,False
bimodal_sep4_d1,False,rx_L2,16,16,2.0,8.0,24.949213029686,0.1159636256669427,5.937756336618564,1.7395472007059796,7.0,float64,False
bimodal_sep4_d1,False,rx_L3,16,16,2.0,8.0,24.949213029686,0.7706103562316082,123.77926302735364,7.708617362111932,7.0,float64,False
bimodal_sep4_d1,False,rx_L4,16,16,2.0,8.0,24.949213029686,6.567202952012862,1862.4654650735552,32.559683123426495,7.0,float64,False
bimodal_sep4_d1,False,rx_naive,16,16,,,24.949213029686,0.1327343136520209,5.333333333333333,1.6666666666666663,7.0,float64,False
bimodal_sep4_d1,False,euler,24,24,,,17.163319555450656,0.1227549890492617,,,7.0,float64,False
bimodal_sep4_d1,False,heun,24,47,,,17.163319555450656,0.0227516286566864,,,7.0,float64,False
bimodal_sep4_d1,False,rx_L2,24,24,3.0,8.0,17.163319555450656,0.1650614308832597,5.510167472958836,1.5307371208867029,7.0,float64,False
bimodal_sep4_d1,False,rx_L3,24,24,3.0,8.0,17.163319555450656,0.1746949463489981,97.37252695477486,5.507387747210465,7.0,float64,False
bimodal_sep4_d1,False,rx_L4,24,24,3.0,8.0,17.163319555450656,0.8581165780213708,1118.6271009199493,15.81790818800703,7.0,float64,False
bimodal_sep4_d1,False,rx_naive,24,24,,,17.163319555450656,0.0866002560025244,5.333333333333333,1.6666666666666667,7.0,float64,False
bimodal_sep4_d1,False,euler,32,32,,,13.069126223736887,0.0911384068703054,,,7.0,float64,False
bimodal_sep4_d1,False,heun,32,63,,,13.069126223736887,0.0119732544931528,,,7.0,float64,False
bimodal_sep4_d1,False,rx_L2,32,32,4.0,8.0,13.069126223736887,0.0708794832981747,5.236507605883888,1.435060129470621,7.0,float64,False
bimodal_sep4_d1,False,rx_L3,32,32,4.0,8.0,13.069126223736887,0.1274827235050057,86.00564820319534,4.70585275412465,7.0,float64,False
bimodal_sep4_d1,False,rx_L4,32,32,4.0,8.0,13.069126223736887,0.1927673641031765,896.1921659865116,11.42305033981127,7.0,float64,False
bimodal_sep4_d1,False,rx_naive,32,32,,,13.069126223736887,0.0641282887130524,5.333333333333333,1.6666666666666663,7.0,float64,False
bimodal_sep4_d1,False,euler,48,48,,,8.842736054613084,0.0600510761306111,,,7.0,float64,True
bimodal_sep4_d1,False,heun,48,95,,,8.842736054613084,0.0050496080002811,,,7.0,float64,True
bimodal_sep4_d1,False,rx_L2,48,48,6.0,8.0,8.842736054613084,0.0409302401764773,4.916062273041202,1.3538865442307395,7.0,float64,True
bimodal_sep4_d1,False,rx_L3,48,48,6.0,8.0,8.842736054613084,0.0362297883894239,77.65260759379913,4.1176936299939735,7.0,float64,True
bimodal_sep4_d1,False,rx_L4,48,48,6.0,8.0,8.842736054613084,0.0436370178678891,772.6253586400146,8.594008303767891,7.0,float64,True
bimodal_sep4_d1,False,rx_naive,48,48,,,8.842736054613084,0.0418759786550749,5.333333333333333,1.6666666666666667,7.0,float64,True
bimodal_sep4_d1,False,euler,64,64,,,6.680472370310028,0.0447518307804614,,,7.0,float64,True
bimodal_sep4_d1,False,heun,64,127,,,6.680472370310028,0.0027832638497052,,,7.0,float64,True
bimodal_sep4_d1,False,rx_L2,64,64,8.0,8.0,6.680472370310028,0.0206745539604924,4.755249073765867,1.3230381158748543,7.0,float64,True
bimodal_sep4_d1,False,rx_L3,64,64,8.0,8.0,6.680472370310028,0.0205987566242908,75.62255298781666,3.914623745966096,7.0,float64,True
bimodal_sep4_d1,False,rx_L4,64,64,8.0,8.0,6.680472370310028,0.0174194983670636,716.0402510444897,7.601682453569879,7.0,float64,True
bimodal_sep4_d1,False,rx_naive,64,64,,,6.680472370310028,0.0309420698525155,5.333333333333333,1.6666666666666663,7.0,float64,True
bimodal_sep4_d1,False,euler,96,96,,,4.485780005215673,0.0296331874554427,,,7.0,float64,True
bimodal_sep4_d1,False,heun,96,191,,,4.485780005215673,0.0012159856486199,,,7.0,float64,True
bimodal_sep4_d1,False,rx_L2,96,96,12.0,8.0,4.485780005215673,0.0098958032484207,4.675959800864619,1.3034935144564643,7.0,float64,True
bimodal_sep4_d1,False,rx_L3,96,96,12.0,8.0,4.485780005215673,0.0103914884685201,77.99701770161587,3.7976776802388112,7.0,float64,True
bimodal_sep4_d1,False,rx_L4,96,96,12.0,8.0,4.485780005215673,0.0100402454082305,669.6788177966182,6.952766136955172,7.0,float64,True
bimodal_sep4_d1,False,rx_naive,96,96,,,4.485780005215673,0.0202941223021819,5.333333333333333,1.6666666666666663,7.0,float64,True
bimodal_sep4_d1,False,euler,128,128,,,3.376341919236438,0.0221462566326666,,,7.0,float64,True
bimodal_sep4_d1,False,heun,128,255,,,3.376341919236438,0.0006780364569378,,,7.0,float64,True
