n_levels,frequency,level_index,level_steps,weight,cond,amplification
2,2,0,1,-1.0120078739147678,8.048031495659071,3.0240157478295355
2,2,1,2,2.0120078739147678,8.048031495659071,3.0240157478295355
3,4,0,1,0.3859925590743143,63.08837657497291,5.275336130119213
3,4,1,2,-2.1376680650596067,63.08837657497291,5.275336130119213
3,4,2,4,2.7516755059852924,63.08837657497291,5.275336130119213
4,8,0,1,-0.13138150523769854,623.4477590900019,7.8108072253469505
4,8,1,2,1.0518631325443266,623.4477590900019,7.8108072253469505
4,8,2,4,-3.2740221074357767,623.4477590900019,7.8108072253469505
4,8,3,8,3.3535404801291486,623.4477590900019,7.8108072253469505
5,16,0,1,0.012862873062596147,6248.641630748924,8.193234334637296
5,16,1,2,-0.17296727166241158,6248.641630748924,8.193234334637296
5,16,2,4,1.1489710883439728,6248.641630748924,8.193234334637296
5,16,3,8,-3.4236498956562365,6248.641630748924,8.193234334637296
5,16,4,16,3.4347832059120793,6248.641630748924,8.193234334637296
