problem,num_steps,n_levels,frequency,precision,eps,rms_error,nfe,max_cond,mean_amplification,failed
single_gaussian_d1,16,2,2,float64,2.220446049250313e-16,0.0086599575533793,16,11.412908150626382,3.5326152411421905,
single_gaussian_d1,16,2,2,float32,1.1920928955078125e-07,0.0086599427467993,16,11.412909507751465,3.532615482807159,
single_gaussian_d1,16,2,2,float16,0.0009765625,0.0087977317558148,16,11.40625,3.533203125,
single_gaussian_d1,32,2,2,float64,2.220446049250313e-16,0.0012429305596985,32,8.635961013678378,3.088614119987282,
single_gaussian_d1,32,2,2,float32,1.1920928955078125e-07,0.0012429422604242,32,8.635960578918457,3.088614046573639,
single_gaussian_d1,32,2,2,float16,0.0009765625,0.0014998925614117,32,8.6328125,3.087646484375,
single_gaussian_d1,64,2,2,float64,2.220446049250313e-16,0.0001470082904841,64,9.217920221527669,3.042060911344258,
single_gaussian_d1,64,2,2,float32,1.1920928955078125e-07,0.0001469994765092,64,9.217918395996094,3.0420608818531036,
single_gaussian_d1,64,2,2,float16,0.0009765625,0.0013630738689117,64,9.21875,3.041748046875,
single_gaussian_d1,128,2,2,float64,2.220446049250313e-16,1.4674504623742071e-05,128,13.837906735458244,3.051519239859642,
single_gaussian_d1,128,2,2,float32,1.1920928955078125e-07,1.4700913918928749e-05,128,13.837905883789062,3.0515192449092865,
single_gaussian_d1,128,2,2,float16,0.0009765625,0.0030925425974304,128,13.8359375,3.05133056640625,
single_gaussian_d1,256,2,2,float64,2.220446049250313e-16,1.5264829371147168e-06,256,23.91945982269585,3.0636830561266946,
single_gaussian_d1,256,2,2,float32,1.1920928955078125e-07,1.610039316836982e-06,256,23.919458389282227,3.06368301063776,
single_gaussian_d1,256,2,2,float16,0.0009765625,0.0039735148682246,256,23.8125,3.06292724609375,
single_gaussian_d1,512,2,2,float64,2.220446049250313e-16,3.528486532075024e-06,512,44.44642680155195,3.0715614072494475,
single_gaussian_d1,512,2,2,float32,1.1920928955078125e-07,3.779186808116766e-06,512,44.44643020629883,3.071561424061656,
single_gaussian_d1,512,2,2,float16,0.0009765625,0.0023111713016303,512,44.53125,3.0714263916015625,
single_gaussian_d1,1024,2,2,float64,2.220446049250313e-16,3.7772365704548223e-06,1024,85.66950002851928,3.075943690474924,
single_gaussian_d1,1024,2,2,float32,1.1920928955078125e-07,3.9041355768575005e-06,1024,85.66950225830078,3.0759436823427677,
single_gaussian_d1,1024,2,2,float16,0.0009765625,0.0033713634081445,1024,85.3125,3.07550048828125,
single_gaussian_d1,2048,2,2,float64,2.220446049250313e-16,3.808234404451988e-06,2048,168.197184584392,3.078244964672655,
single_gaussian_d1,2048,2,2,float32,1.1920928955078125e-07,4.356056424548094e-06,2048,168.1968536376953,3.078244796022773,
single_gaussian_d1,2048,2,2,float16,0.0009765625,0.0088072656953926,2048,163.875,3.07611083984375,
single_gaussian_d1,16,3,4,float64,2.220446049250313e-16,0.2526474966485,16,416.41926366331376,16.374484549639654,
single_gaussian_d1,16,3,4,float32,1.1920928955078125e-07,0.2526476164394272,16,416.4203453063965,16.374508023262024,
single_gaussian_d1,16,3,4,float16,0.0009765625,0.2506177820189466,16,411.75,16.146484375,
single_gaussian_d1,32,3,4,float64,2.220446049250313e-16,0.0296454713557125,32,95.14262514826788,6.182868482949669,
single_gaussian_d1,32,3,4,float32,1.1920928955078125e-07,0.0296455205945891,32,95.1426486968994,6.182871520519257,
single_gaussian_d1,32,3,4,float16,0.0009765625,0.0296641566821867,32,95.16796875,6.17626953125,
single_gaussian_d1,64,3,4,float64,2.220446049250313e-16,0.005363419748095,64,68.75938333028382,5.248256043960512,
single_gaussian_d1,64,3,4,float32,1.1920928955078125e-07,0.0053634810997261,64,68.75939011573792,5.248256653547287,
single_gaussian_d1,64,3,4,float16,0.0009765625,0.0051898940758843,64,68.724609375,5.24853515625,
single_gaussian_d1,128,3,4,float64,2.220446049250313e-16,0.0012051591171974,128,99.92745429447318,5.183732056075734,
single_gaussian_d1,128,3,4,float32,1.1920928955078125e-07,0.0012051674751132,128,99.9275085926056,5.183732777833939,
single_gaussian_d1,128,3,4,float16,0.0009765625,0.0024075527161386,128,100.44140625,5.1837158203125,
single_gaussian_d1,256,3,4,float64,2.220446049250313e-16,0.0002906039129777,256,251.10932005271505,5.315928164092308,
single_gaussian_d1,256,3,4,float32,1.1920928955078125e-07,0.0002907306204374,256,251.10997009277344,5.315929658710957,
single_gaussian_d1,256,3,4,float16,0.0009765625,0.0043134875458065,256,253.96875,5.319580078125,
single_gaussian_d1,512,3,4,float64,2.220446049250313e-16,7.446078196301256e-05,512,799.5754944793327,5.604016792057054,
single_gaussian_d1,512,3,4,float32,1.1920928955078125e-07,7.442306576558036e-05,512,799.5758514404297,5.604016903787851,
single_gaussian_d1,512,3,4,float16,0.0009765625,0.0127374652069258,512,809.8125,5.609405517578125,
single_gaussian_d1,1024,3,4,float64,2.220446049250313e-16,2.180412206650366e-05,1024,2857.5442786559515,6.167517759430911,
single_gaussian_d1,1024,3,4,float32,1.1920928955078125e-07,2.255919298980986e-05,1024,2857.431838989258,6.1674704402685165,
single_gaussian_d1,1024,3,4,float16,0.0009765625,0.0321890667171329,1024,2667.75,6.0843505859375,
single_gaussian_d1,2048,3,4,float64,2.220446049250313e-16,8.786762691960757e-06,2048,10808.232363157014,7.282081962741161,
single_gaussian_d1,2048,3,4,float32,1.1920928955078125e-07,1.756937517930511e-05,2048,10808.81689453125,7.282196277752519,
single_gaussian_d1,2048,3,4,float16,0.0009765625,0.122949856133661,2048,14604.0,7.785148620605469,
