n_levels,frequency,precision,eps,weight_abs_error,weight_rel_error,cond,amplification,predicted_error,failed
2,2,float64,2.220446049250313e-16,0.0,0.0,8.002749314738608,3.001374657369304,1.7769673099051993e-15,
2,2,float32,1.1920928955078125e-07,3.2078897760356995e-08,1.6033938587219024e-08,8.002749314738608,3.001374657369304,9.54002060262991e-07,
2,2,float16,0.0009765625,0.0006873286846520443,0.0003435462777204308,8.002749314738608,3.001374657369304,0.007815184877674422,
3,4,float64,2.220446049250313e-16,0.0,0.0,60.167171740137846,5.014862150786966,1.3359795878495416e-14,
3,4,float32,1.1920928955078125e-07,1.3853914291317437e-06,5.18619130692828e-07,60.167171740137846,5.014862150786966,7.1724857974216754e-06,
3,4,float16,0.0009765625,0.0025201320206686972,0.0009434075094642957,60.167171740137846,5.014862150786966,0.058757003652478365,
4,8,float64,2.220446049250313e-16,0.0,0.0,578.7761832265766,6.499486260367914,1.2851412894456273e-13,
4,8,float32,1.1920928955078125e-07,1.3360569083520346e-05,4.359192136843513e-06,578.7761832265766,6.499486260367914,6.899549761135299e-05,
4,8,float16,0.0009765625,0.005583277156746558,0.0018216722451986067,578.7761832265766,6.499486260367914,0.5652111164322037,
5,16,float64,2.220446049250313e-16,0.0,0.0,7378.349815445434,7.514813091783864,1.638322769769259e-12,
5,16,float32,1.1920928955078125e-07,7.787953671734016e-05,2.35984315198278e-05,7378.349815445434,7.514813091783864,0.0008795678395563881,
5,16,float16,0.0009765625,0.7723794816845961,0.23404022512367795,7378.349815445434,7.514813091783864,7.205419741645931,
6,32,float64,2.220446049250313e-16,0.0,0.0,98086.38705789049,8.280990344083456,2.1779553062792998e-11,
6,32,float32,1.1920928955078125e-07,0.00046971480885593664,0.0001354954018302106,98086.38705789049,8.280990344083456,0.01169280851577407,
6,32,float16,0.0009765625,2.0477022822614566,0.5906866003212423,98086.38705789049,8.280990344083456,95.78748736122118,
7,64,float64,2.220446049250313e-16,0.0,0.0,613954.0377071659,8.991478610092159,1.3632518174481543e-10,
7,64,float32,1.1920928955078125e-07,0.0025276137507810326,0.0006741162910347344,613954.0377071659,8.991478610092159,0.07318902465190481,
7,64,float16,0.0009765625,3.443613629230176,0.9184140760335696,613954.0377071659,8.991478610092159,599.5644899484042,
