series,mean,std,count,sem
"RX-Euler
(NFE 10)",6.153662394806106,0.04226895259179407,3,0.02440399115723584
"RX+EDM
(NFE 10)",10.717601135110913,0.07142077361590701,3,0.04123480287287524
"Heun (EDM)
(NFE 11)",16.448451903434975,0.1448950916143428,3,0.0836552201477963
"Euler
(NFE 10)",17.48245635124645,0.3043797336792324,3,0.17573372117557143
