problem,num_steps,n_levels,frequency,precision,eps,rms_error,nfe,max_cond,mean_amplification,failed
single_gaussian_d1,16,3,4,float64,2.220446049250313e-16,0.2526474966485,16,416.41926366331376,16.374484549639654,
single_gaussian_d1,16,3,4,float32,1.1920928955078125e-07,0.2526476164394272,16,416.4203453063965,16.374508023262024,
single_gaussian_d1,16,3,4,float16,0.0009765625,0.2506177820189466,16,411.75,16.146484375,
single_gaussian_d1,32,3,4,float64,2.220446049250313e-16,0.0296454713557125,32,95.14262514826788,6.182868482949669,
single_gaussian_d1,32,3,4,float32,1.1920928955078125e-07,0.0296455205945891,32,95.1426486968994,6.182871520519257,
single_gaussian_d1,32,3,4,float16,0.0009765625,0.0296641566821867,32,95.16796875,6.17626953125,
single_gaussian_d1,64,3,4,float64,2.220446049250313e-16,0.005363419748095,64,68.75938333028382,5.248256043960512,
single_gaussian_d1,64,3,4,float32,1.1920928955078125e-07,0.0053634810997261,64,68.75939011573792,5.248256653547287,
single_gaussian_d1,64,3,4,float16,0.0009765625,0.0051898940758843,64,68.724609375,5.24853515625,
single_gaussian_d1,128,3,4,float64,2.220446049250313e-16,0.0012051591171974,128,99.92745429447318,5.183732056075734,
single_gaussian_d1,128,3,4,float32,1.1920928955078125e-07,0.0012051674751132,128,99.9275085926056,5.183732777833939,
single_gaussian_d1,128,3,4,float16,0.0009765625,0.0024075527161386,128,100.44140625,5.1837158203125,
single_gaussian_d1,256,3,4,float64,2.220446049250313e-16,0.0002906039129777,256,251.10932005271505,5.315928164092308,
single_gaussian_d1,256,3,4,float32,1.1920928955078125e-07,0.0002907306204374,256,251.10997009277344,5.315929658710957,
single_gaussian_d1,256,3,4,float16,0.0009765625,0.0043134875458065,256,253.96875,5.319580078125,
single_gaussian_d1,512,3,4,float64,2.220446049250313e-16,7.446078196301256e-05,512,799.5754944793327,5.604016792057054,
single_gaussian_d1,512,3,4,float32,1.1920928955078125e-07,7.442306576558036e-05,512,799.5758514404297,5.604016903787851,
single_gaussian_d1,512,3,4,float16,0.0009765625,0.0127374652069258,512,809.8125,5.609405517578125,
single_gaussian_d1,1024,3,4,float64,2.220446049250313e-16,2.180412206650366e-05,1024,2857.5442786559515,6.167517759430911,
single_gaussian_d1,1024,3,4,float32,1.1920928955078125e-07,2.255919298980986e-05,1024,2857.431838989258,6.1674704402685165,
single_gaussian_d1,1024,3,4,float16,0.0009765625,0.0321890667171329,1024,2667.75,6.0843505859375,
single_gaussian_d1,2048,3,4,float64,2.220446049250313e-16,8.786762691960757e-06,2048,10808.232363157014,7.282081962741161,
single_gaussian_d1,2048,3,4,float32,1.1920928955078125e-07,1.756937517930511e-05,2048,10808.81689453125,7.282196277752519,
single_gaussian_d1,2048,3,4,float16,0.0009765625,0.122949856133661,2048,14604.0,7.785148620605469,
