rho,n_levels,frequency,cond,amplification,lambda_spread,sigma_hi,sigma_lo
1.0,2,2,8.0,3.0,1.0000000000000226,80.0,78.74018897637795
1.0,3,4,60.0,5.000000000000001,1.0000000000000226,80.0,77.4803779527559
1.0,4,8,576.0,6.4285714285714235,1.0000000000000226,80.0,74.96075590551182
1.0,5,16,7771.42857142865,7.2857142857143895,1.0000000000000226,80.0,69.92151181102362
1.5,2,2,8.000031440356768,3.000015720178384,1.0039727358962363,79.99999999999999,78.11929883724105
1.5,3,4,60.00191683445752,5.000170386084594,1.0120623530015473,79.99999999999999,76.2535707725688
1.5,4,8,576.032350996612,6.429391698644359,1.028846124643014,79.99999999999999,72.5675214981678
1.5,5,16,7766.649423213121,7.288533041630882,1.0650814880748,79.99999999999999,65.38063788520795
2.0,2,2,8.000124711748994,3.0000623558744968,1.0079278130789346,80.00000000000001,77.51255552111105
2.0,3,4,60.007602958291244,5.000675825204747,1.0241666160665626,80.00000000000001,75.06439531279062
2.0,4,8,576.1281999307644,6.431823701784595,1.058266234445261,80.00000000000001,70.28592770785542
2.0,5,16,7752.479735239512,7.2968495801953095,1.1337635275929512,80.00000000000001,61.2004037448075
2.5,2,2,8.000275268658442,3.0001376343292208,1.0118007848180919,80.00000000000001,76.93187385919506
2.5,3,4,60.01677962727314,5.001491550083513,1.0361107102167182,80.00000000000001,73.93545320965774
2.5,4,8,576.2826043665632,6.435745225388167,1.0877557594622382,80.00000000000001,68.15545384073498
2.5,5,16,7729.690368420065,7.310161959006244,1.2049116756900988,80.00000000000001,57.4306390411637
3.0,2,2,8.000474656603641,3.0002373283018207,1.0155245845389085,79.99999999999996,76.38679091992203
3.0,3,4,60.02892848959736,5.002571498765602,1.04767827879493,79.99999999999996,72.88404737482644
3.0,4,8,576.4865381893504,6.440930528132166,1.1167419620966477,79.99999999999996,66.2030970267187
3.0,5,16,7699.720028976939,7.327602653456462,1.2770492346703344,79.99999999999996,54.09132425879185
3.5,2,2,8.000712403902256,3.000356201951128,1.0190522544952818,79.99999999999996,75.88211461691871
3.5,3,4,60.04340794491667,5.003858653862848,1.0587108407106538,79.99999999999996,71.9179035378286
3.5,4,8,576.7289322781623,6.447101337839981,1.144771250594801,79.99999999999996,64.43655755992332
3.5,5,16,7664.337733008555,7.348139803665518,1.348840512291411,79.99999999999996,51.16606044709934
4.0,2,2,8.000978047081373,3.0004890235406867,1.0223597401592375,79.99999999999999,75.4187685181545
4.0,3,4,60.05957759062756,5.005296101553889,1.0691194523434129,79.99999999999999,71.03717189036453
4.0,4,8,576.9988249131233,6.453981042530344,1.171553198009417,79.99999999999999,62.849428730747384
4.0,5,16,7625.286304392022,7.370778512244296,1.4192701237423826,79.99999999999999,48.616493248877326
4.5,2,2,8.001262321725509,3.0006311608627545,1.0254404775209776,79.99999999999999,74.99526860644225
4.5,3,4,60.07687121868016,5.006833518909577,1.0788700922955652,79.99999999999999,70.2375085673606
4.5,4,8,577.2866027813582,6.461326198910484,1.1969355207241816,79.99999999999999,61.42777223054505
4.5,5,16,7584.0754837392815,7.394670491802428,1.4876429778624876,79.99999999999999,46.39620673590729
5.0,2,2,8.001557602979524,3.000778801489762,1.0282991324294029,80.00000000000003,74.6088895439205
5.0,3,4,60.094823624425096,5.008429556923228,1.0879653109686933,80.00000000000003,69.5124180038286
5.0,4,8,577.5844371190387,6.468937822773918,1.2208643705572653,80.00000000000003,60.15475341249745
5.0,5,16,7541.910461003437,7.4191462567921675,1.5535240926259775,80.00000000000003,44.45906512630868
5.5,2,2,8.001857907700966,3.000928953850483,1.030946760128724,80.00000000000003,74.2564074761819
5.5,3,4,60.11307049327285,5.010051831156693,1.0964295302257976,80.00000000000003,68.85469571309069
5.5,4,8,577.8862572010306,6.47666098843482,1.2433498599933819,80.00000000000003,59.0132932468586
5.5,5,16,7499.699411205412,7.443704865936298,1.6166715460171706,80.00000000000003,42.763115350585664
6.0,2,2,8.002158699527804,3.001079349763902,1.0333975660632218,80.0,73.934524186827
6.0,3,4,60.13133623872241,5.011675841617964,1.104298912431952,80.0,68.25721919626312
6.0,4,8,578.1875219941621,6.484379274127304,1.2644408279462362,80.0,57.987383303763245
6.0,5,16,7458.09552913355,7.467986852484142,1.6769798292956812,80.0,41.27190184437969
6.5,2,2,8.002456634699902,3.001228317349951,1.0356668980947268,80.00000000000001,73.64008865695445
6.5,3,4,60.14941827004179,5.0132835752245475,1.1116148825582413,80.00000000000001,67.71333646781395
6.5,4,8,578.4849367429283,6.492007750914015,1.28420772676317,80.00000000000001,57.062625521495455
6.5,5,16,7417.5479974229065,7.491744159327331,1.7344365905734414,80.00000000000001,39.95449513149788
7.0,2,2,8.002749314738608,3.001374657369304,1.0377700711671707,80.0,73.37019952280082
7.0,3,4,60.167171740137846,5.014862150786966,1.1184201896370898,80.0,67.21702527325485
7.0,4,8,578.7761832265766,6.499486260367914,1.3027315094282113,80.0,56.22636065990345
7.0,5,16,7378.349815445434,7.514813091783864,1.7890911398639142,80.0,38.78497188103633
7.5,2,2,8.003035071990453,3.0015175359952266,1.0397217212237437,79.99999999999997,73.1222410005256
7.5,3,4,60.18449635473965,5.01640264703381,1.1247566248434349,79.99999999999997,66.76292903502757
7.5,4,8,579.0596894363898,6.506773645688246,1.3200966416994122,79.99999999999997,55.46759615662579
7.5,5,16,7340.678033069533,7.537092172288599,1.8410321059733301,79.99999999999997,37.74172106284491
8.0,2,2,8.003312794258061,3.0016563971290307,1.0415354834395048,79.99999999999997,72.89388344658812
8.0,3,4,60.20132560986071,5.017899146317043,1.1306637826913672,79.99999999999997,66.34633074883051
8.0,4,8,579.3344436443524,6.513843075253375,1.336386849463843,79.99999999999997,54.77684811126439
8.0,5,16,7304.6256604673,7.558524906625595,1.8903718457726957,79.99999999999997,36.806749773935266
8.5,2,2,8.003581786106533,3.0017908930532666,1.0432238634324027,79.99999999999996,72.68306640829948
8.5,3,4,60.217618297612596,5.0193479798150795,1.136178462742682,79.99999999999996,65.96309887988637
8.5,4,8,579.5998490749857,6.520678373514384,1.351682641882846,79.99999999999996,54.145956874715054
8.5,5,16,7270.226090897149,7.579086769992937,1.9372357049634854,79.99999999999996,35.96505936296326
9.0,2,2,8.00384166137739,3.001920830688695,1.0447982196498615,79.99999999999997,72.48797412070542
9.0,3,4,60.23335193632517,5.020747143685824,1.141334455236141,79.99999999999997,65.60962356813269
